Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	4.99756	0	0.00244141	
1	4.99756	1	0.00244141	
2	4.99756	2	0.00244141	
3	4.99756	3	0.00244141	
4	4.99756	4	0.00244141	
5	4.99756	5	0.00244141	
6	4.99756	6	0.00244141	
7	4.99756	7	0.00244141	
8	4.99756	8	0.00244141	
9	4.99756	9	0.00244141	
10	4.99756	10	0.00244141	
11	4.99756	11	0.00244141	
12	4.99756	12	0.00244141	
13	4.99756	13	0.00244141	
14	4.99756	14	0.00244141	
15	4.99756	15	0.00244141	
16	4.99756	16	0.00244141	
17	4.99756	17	0.00244141	
18	4.99756	18	0.00244141	
19	4.99756	19	0.00244141	
20	4.99756	20	0.00244141	
21	4.99756	21	0.00244141	
22	4.99756	22	0.00244141	
23	4.99756	23	0.00244141	
24	4.99756	24	0.00244141	
25	4.99756	25	0.00244141	
26	4.99756	26	0.00244141	
27	4.99756	27	0.00244141	
28	0.00488281	28	0.00244141	
29	0.00244141	29	0.00244141	
30	0.00244141	30	0.00244141	
31	0.00244141	31	0.00244141	
32	0.00244141	32	0.00244141	
33	0.00244141	33	0.00244141	
34	0.00244141	34	0.00244141	
35	0.00244141	35	0.00244141	
36	0.00244141	36	0.00244141	
37	0.00244141	37	0.00244141	
38	0.00244141	38	0.00244141	
39	0.00244141	39	0.00244141	
40	0.00244141	40	0.00244141	
41	0.00244141	41	0.00244141	
42	0.00244141	42	0.00244141	
43	0.00244141	43	0.00244141	
44	0.00244141	44	0.00244141	
45	0.00244141	45	0.00244141	
46	0.00244141	46	0.00244141	
47	0.00244141	47	0.00244141	
48	0.00244141	48	0.00244141	
49	0.00244141	49	0.00244141	
50	0.00244141	50	0.00244141	
51	0.00244141	51	0.00244141	
52	0.00244141	52	0.00244141	
53	0.00244141	53	0.00244141	
54	0.00244141	54	0.00244141	
55	0.00244141	55	0.00244141	
56	0.00244141	56	0.00244141	
57	0.00244141	57	0.00244141	
58	0.00244141	58	0.00244141	
59	0.00244141	59	0.00244141	
60	0.00244141	60	0.00244141	
61	0.00244141	61	0.00244141	
62	0.00244141	62	0.00244141	
63	0.00244141	63	0.00244141	
64	0.00244141	64	0.00244141	
65	0.00244141	65	0.00244141	
66	0.00244141	66	0.00244141	
